2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:01:08 [INFO]    🏆 TR | VLESS | Пинг: 3781ms | Скорость: 6.48 Mbps ⚡⚡
2026-02-27 07:01:08 [INFO]    🏆 PL | VLESS | Пинг: 3726ms | Скорость: 6.28 Mbps ⚡⚡
2026-02-27 07:01:08 [INFO]    🏆 PL | VLESS | Пинг: 3685ms | Скорость: 6.17 Mbps ⚡⚡
2026-02-27 07:01:09 [INFO]    🏆 US | VLESS | Пинг: 3685ms | Скорость: 5.64 Mbps ⚡⚡
2026-02-27 07:01:09 [INFO]    🏆 PL | VLESS | Пинг: 3818ms | Скорость: 8.43 Mbps ⚡⚡
2026-02-27 07:01:10 [INFO]    🏆 PL | VLESS | Пинг: 3820ms | Скорость: 7.46 Mbps ⚡⚡
2026-02-27 07:01:10 [INFO]    🏆 FI | VLESS | Пинг: 3819ms | Скорость: 7.2 Mbps ⚡⚡
2026-02-27 07:01:10 [INFO]    🏆 LV | VLESS | Пинг: 3831ms | Скорость: 7.72 Mbps ⚡⚡
2026-02-27 07:01:10 [INFO]    🏆 SE | VLESS | Пинг: 3875ms | Скорость: 7.71 Mbps ⚡⚡
2026-02-27 07:01:10 [INFO]    🏆 FI | VLESS | Пинг: 3852ms | Скорость: 7.54 Mbps ⚡⚡
2026-02-27 07:01:11 [INFO]    🏆 EE | VLESS | Пинг: 3827ms | Скорость: 5.66 Mbps ⚡⚡
2026-02-27 07:01:11 [INFO]    🏆 FI | VLESS | Пинг: 3899ms | Скорость: 11.19 Mbps ⚡⚡
2026-02-27 07:01:11 [INFO]    🏆 PL | VLESS | Пинг: 3885ms | Скорость: 10.42 Mbps ⚡⚡
2026-02-27 07:01:11 [INFO]    🏆 PL | VLESS | Пинг: 3876ms | Скорость: 9.68 Mbps ⚡⚡
2026-02-27 07:01:11 [INFO]    🏆 PL | VLESS | Пинг: 3880ms | Скорость: 10.21 Mbps ⚡⚡
2026-02-27 07:01:12 [INFO]    🏆 JP | VLESS | Пинг: 3899ms | Скорость: 7.78 Mbps ⚡⚡
2026-02-27 07:01:13 [INFO]    🏆 ES | VLESS | Пинг: 3896ms | Скорость: 5.64 Mbps ⚡⚡
2026-02-27 07:01:13 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-27 07:01:13 [INFO] 💾 Файл успешно сохранен: FL1PVPN
